Enrollment	Final_Grade	Explicación
49256	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
49293	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
49314	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
49323	NULL	NULL
49333	NULL	NULL
49334	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
49344	E	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. 
49345	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
49346	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
49350	B	"A menudo, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Con frecuencia logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; suele describir en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
49375	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
49401	NULL	NULL
49412	NULL	NULL
49473	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
49484	NULL	NULL
49494	NULL	NULL
49534	NULL	NULL
49559	NULL	NULL
49568	B	"A menudo, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Con frecuencia logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; suele describir en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
49576	NULL	NULL
49582	-	Cancelado
49591	NULL	NULL
49598	NULL	NULL
49609	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
49635	A	"Generalmente, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Normalmente, logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; casi siempre describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
49669	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
49670	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
49678	NULL	NULL
49720	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
49729	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
49741	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
49745	E	El examinado no concluyó el proceso de evaluación. Las habilidades lingüísticas que presentó no son suficientes para acreditar el Examen de Certificación de EXAVER 1 nivel A2.
49748	NULL	NULL
49752	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
49758	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
49769	E	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. 
49796	NULL	NULL
49799	NULL	NULL
49806	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
49815	NULL	NULL
49819	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
49829	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
49838	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
49855	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
49867	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
49887	B	"A menudo, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Con frecuencia logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; suele describir en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
49914	NULL	NULL
49942	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
49954	NULL	NULL
49956	NULL	NULL
49957	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
49975	E	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. 
49980	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
50019	NULL	NULL
50020	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
50022	NULL	NULL
50028	NULL	NULL
50033	NULL	NULL
50040	NULL	NULL
50041	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
50047	NULL	NULL
50053	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
50068	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
50124	NULL	NULL
50128	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
50175	NULL	NULL
50176	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
50207	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
50226	NULL	NULL
50234	NULL	NULL
50246	NULL	NULL
50262	-	Cancelado
50263	B	"A menudo, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Con frecuencia logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; suele describir en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
50269	NULL	NULL
50292	NULL	NULL
50300	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
50310	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
50319	B	"A menudo, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Con frecuencia logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; suele describir en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
50331	E	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. 
50337	NULL	NULL
50375	E	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. 
50402	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
50409	NULL	NULL
50459	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
50460	NULL	NULL
50467	NULL	NULL
50477	NULL	NULL
50486	E	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. 
50498	NULL	NULL
50500	NULL	NULL
50512	NULL	NULL
50524	E	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. 
50560	NULL	NULL
50565	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
50566	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
50570	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
50574	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
50575	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
50580	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
50594	B	"A menudo, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Con frecuencia logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; suele describir en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
50606	NULL	NULL
50613	E	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. 
50636	E	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. 
50638	NULL	NULL
50644	NULL	NULL
50659	NULL	NULL
50686	E	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. 
50691	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
50692	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
50701	NULL	NULL
50711	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
50713	NULL	NULL
50729	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
50741	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
50754	NULL	NULL
50758	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
50761	NULL	NULL
50764	NULL	NULL
50777	NULL	NULL
50782	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
50799	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
50830	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
50849	B	"A menudo, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Con frecuencia logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; suele describir en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
50850	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
50859	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
50878	NULL	NULL
50879	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
50885	B	"A menudo, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Con frecuencia logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; suele describir en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
50899	NULL	NULL
50907	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
50917	A	"Generalmente, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Normalmente, logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; casi siempre describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
50918	D	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. No acreditó el total de las cuatro habilidades evaluadas.
50965	E	El nivel de competencia lingüística del examinado es insuficiente para acreditar el Examen de Certificación de EXAVER 1 nivel A2. 
50967	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
50971	C	"De vez en cuando, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Algunas veces logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; a veces describe en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
50975	B	"A menudo, el examinado entiende frases y expresiones de uso frecuente relacionadas con áreas de su experiencia que le son relevantes tales como información básica sobre sí mismo, su familia, compras, lugares de interés, y ocupaciones, entre otros. Con frecuencia logra comunicarse al llevar a cabo tareas sencillas y habituales que sólo requieren intercambios de información sencillos y directos sobre asuntos cotidianos o que le son familiares; suele describir en términos sencillos información sobre su pasado y su entorno, así como asuntos relacionados con sus necesidades inmediatas."
50977	NULL	NULL
